"Rank","Role","Company","Compensation","Location","YearsRequired","Composite","Recruiter","Interview","DegreeScore","SkillScore","ExperienceScore","PrefPenalties","FitScore","FitCategory","FileName","PostingDate"
"1","Tax Innovation & Delivery Experience - Data Engineering - Experienced Associate","PwC","$63,000 - $153,000","Multiple locations (see posting)","1+","87","85","70","1","1","1","0","1","Strong match","20260619_235235_tax-innovation-delivery-data-engineering-experienced-associate.md","Unknown"
"2","Apps Dev Programmer Analyst 2 - Officer","Citi","$73,730.00 - $102,870.00","Rutherford, New Jersey, United States (Hybrid)","0-2 years","86","85","70","1","1","0.8","0","1","Strong match","20260623_094136_apps-dev-programmer-analyst-2-officer.md","2026-05-08"
"3","Data Engineer 2 - Reston, VA - FreeWheel","FreeWheel (Comcast)","Unknown","Reston, Virginia, United States","2-5 years","83","80","65","1","1","0.8","0","1","Strong match","20260624_144446_data-engineer-2-reston-va-freewheel.md","2026-06-21"
"4","Junior Data Services and AI Developer - Officer","Citi","$95,770.00 - $133,630.00","Jersey City, New Jersey, United States (Hybrid)","2+ years (Financial Services)","81","75","60","1","1","1","0","1","Moderate-to-Strong match","20260624_144240_junior-data-services-and-ai-developer-officer.md","2026-06-24"
"5","agentic-ai-engineer-healthcare-ai","Deloitte","$134,500","NYC","Unknown","80","80","60","1","1","0.5","0","1","Strong match (conditioned on depth verification)","20260617_195813_agentic-ai-engineer-healthcare-ai.md","Unknown"
"6","global-tech-apprentice-program-bank-of-america-jersey-city","Bank of America","$27.17","Jersey City","Unknown","80","80","60","1","1","0.5","0","1","Strong internship match","20260619_193044_global-tech-apprentice-program-bank-of-america-jersey-city.md","Unknown"
"7","Tax Innovation & Delivery Experience - Data Engineering - Senior Associate","PwC","$77,000 - $214,000","New York, NY; Stamford, CT; Melville, NY; Los Angeles, CA; Chicago, IL; Washington D.C., DC; Boston, MA; Florham Park, NJ; Dallas, TX; Philadelphia, PA","2+","80","80","70","1","0.5","1","0","1","Strong match","20260619_235331_tax-innovation-delivery-experience-data-engineering-senior-associate.md","Unknown"
"8","Software Engineer II, Data Engineer","LG Ad Solutions","Tier 2: $112,000 - $154,000; Tier 1: $128,000 - $176,000","New York, NY; Denver, CO (On-site 4 days/week)","1-2","80","75","60","1","1","0.8","0","1","Strong match","20260619_225118_software-engineer-ii-data-engineer.md","Unknown"
"9","software-engineer-ai-platform-slack","Slack","$117","Seattle","2 years","78","75","60","1","1","0.5","0","1","Strong match (contingent on infra/ops verification)","20260617_220707_software-engineer-ai-platform-slack.md","Unknown"
"10","senior-associate-data-strategy-enablement-innovation-kpmg","KPMG","Unknown","Unknown","3 years","77","75","55","1","1","0.5","0","1","Moderate to Strong match (contingent on depth verification)","20260617_212336_senior-associate-data-strategy-enablement-innovation-kpmg.md","Unknown"
"11","associate-software-engineer-goldman-sachs","Goldman Sachs","$132,000","Jersey City","2 years","76","75","55","1","1","0.5","0","0.75","Moderate match","20260619_180202_associate-software-engineer-goldman-sachs.md","Unknown"
"12","Applications Development Intermediate Programmer Analyst - Officer","Citi","$95,770.00 - $133,630.00","Rutherford, New Jersey, United States (Hybrid)","1-3+ years","75","70","50","1","1","1","0","0.75","Moderate match","20260623_093815_apps-dev-intmd-programmer-analyst-officer.md","2026-05-08"
"13","acceleration-center-agentic-ai-and-machine-learning-developer-experienced-associate","Deloitte","$61","New York","2 years","74","70","50","1","1","0.5","0","1","Moderate to Strong match (contingent on compensation and model-training evidence)","20260617_200430_acceleration-center-agentic-ai-and-machine-learning-developer-experienced-associate.md","Unknown"
"14","Data Engineer - Senior Associate","PwC","$77,000 - $202,000","Multiple U.S. locations (remote/onsite hybrid depends on office) — see posting for city list","2 years","74","70","50","1","1","0.5","0","1","Moderate-to-Strong match","20260619_232417_data-engineer-senior-associate-pwc.md","Unknown"
"15","Data Analytics Associate (Marketing Science)","LG Ad Solutions","$90,655 - $124,649","New York, NY (on-site expected 3–4 days/week)","2+","72","75","55","0.5","1","1","0","1","Moderate-to-Strong match","20260619_224701_data-analytics-associate-marketing-science.md","Unknown"
"16","data-science-senior-associate-digiops-analytics","JPMorgan Chase","$114","New York","3 years","70","65","45","1","1","0.5","0","0.75","Moderate match","20260617_193239_data-science-senior-associate-digiops-analytics.md","Unknown"
"17","AI Platform Engineer (Generative AI Agents)","LG Ads / LG Ad Solutions","Tier 2: $135,000 - $192,500; Tier 1: $154,000 - $220,000","Denver, CO; New York, NY (On-site expected 4 days/week)","Not explicitly stated (""Proven experience"" implied)","70","65","45","1","1","0.5","0","0.75","Moderate match","20260619_224850_ai-platform-engineer-generative-ai-agents.md","Unknown"
